intron_id,sa.eff
Os01g0120500.intron1,10363
Os01g0120500.intron2,186
Os01g0120500.intron3,0
Os01g0120600.intron1,6451
Os01g0120600.intron2,68708
Os01g0120600.intron3,6966
Os01g0120600.intron4,12018
Os01g0120600.intron5,169590
Os01g0120700.intron1,133401
Os01g0120800.intron1,38845
Os01g0120800.intron2,30219
Os01g0120800.intron3,8783
Os01g0120800.intron4,64031
Os01g0120800.intron5,3204
Os01g0120800.intron6,119093
Os01g0120800.intron7,20643
Os01g0120800.intron8,27644
Os01g0120800.intron9,16139
Os01g0120800.intron10,3109
Os01g0120800.intron11,78235
Os01g0120800.intron12,14249
Os01g0120800.intron13,7899
Os01g0120800.intron14,14249
Os01g0120800.intron15,7899
Os01g0120800.intron16,38845
Os01g0120800.intron17,30219
Os01g0120800.intron18,8783
Os01g0120800.intron19,64031
Os01g0120800.intron20,3204
Os01g0120800.intron21,119093
Os01g0120800.intron22,20643
Os01g0120800.intron23,27644
Os01g0120800.intron24,16139
Os01g0120800.intron25,3109
Os01g0120800.intron26,78235
Os01g0120800.intron27,14249
Os01g0120800.intron28,7899
Os01g0120800.intron29,64031
Os01g0120800.intron30,3204
Os01g0120800.intron31,119093
Os01g0120800.intron32,20643
Os01g0120800.intron33,27644
Os01g0120800.intron34,16139
Os01g0120800.intron35,3109
Os01g0120800.intron36,78235
Os01g0120800.intron37,14249
Os01g0120800.intron38,7899
Os01g0120800.intron39,119093
Os01g0120800.intron40,20643
Os01g0120800.intron41,27644
Os01g0120800.intron42,16139
Os01g0120800.intron43,3109
Os01g0120800.intron44,78235
Os01g0120800.intron45,14249
Os01g0120800.intron46,7899
Os01g0120800.intron47,38845
Os01g0120800.intron48,30219
Os01g0120800.intron49,8783
Os01g0121100.intron1,2969
Os01g0121100.intron2,15201
Os01g0121100.intron3,98879
Os01g0121100.intron4,81597
Os01g0121100.intron5,31216
Os01g0121100.intron6,28970
Os01g0121100.intron7,41724
Os01g0121100.intron8,15201
Os01g0121100.intron9,98879
Os01g0121100.intron10,81597
Os01g0121100.intron11,31216
Os01g0121100.intron12,28970
Os01g0121100.intron13,41724
Os01g0121200.intron1,5260
Os01g0121200.intron2,682
Os01g0121200.intron3,786
Os01g0121200.intron4,1874
Os01g0121200.intron5,5032
Os01g0121200.intron6,14067
Os01g0121200.intron7,8177
Os01g0121200.intron8,0
Os01g0121300.intron1,19219
Os01g0121300.intron2,97855
Os01g0121300.intron3,9671
Os01g0121300.intron4,13066
Os01g0121300.intron5,37885
Os01g0121300.intron6,19712
Os01g0121300.intron7,103500
Os01g0121300.intron8,91499
Os01g0121400.intron1,0
Os01g0121400.intron2,0
Os01g0121400.intron3,0
Os01g0121400.intron4,0
Os01g0121400.intron5,0
Os01g0121400.intron6,0
Os01g0121400.intron7,7588
Os01g0121500.intron1,37487
Os01g0121700.intron1,9340
Os01g0121700.intron2,618
Os01g0121700.intron3,350
Os01g0121700.intron4,1134
Os01g0121700.intron5,468
Os01g0121700.intron6,7741
Os01g0121700.intron7,4510
Os01g0121700.intron8,9288
Os01g0121700.intron9,1147
Os01g0121700.intron10,0
Os01g0121700.intron11,3457
Os01g0121800.intron1,234470
Os01g0121800.intron2,950
Os01g0121800.intron3,3454
Os01g0121900.intron1,0
Os01g0121950.intron1,0
Os01g0122200.intron1,724
Os01g0122200.intron2,331
Os01g0123500.intron1,0
Os01g0123700.intron1,0
Os01g0123800.intron1,0
Os01g0124550.intron1,0
Os01g0124550.intron2,0
Os01g0124550.intron3,0
Os01g0124550.intron4,0
Os01g0124550.intron5,0
Os01g0124550.intron6,0
Os01g0124550.intron7,0
Os01g0124550.intron8,0
Os01g0124550.intron9,0
Os01g0124900.intron1,0
Os01g0124900.intron2,0
Os01g0125000.intron1,0
Os01g0125550.intron1,0
Os01g0125600.intron1,0
Os01g0125600.intron2,0
Os01g0125700.intron1,3992
Os01g0125800.intron1,29311
